geneID	anr1_(Pae_G1a)_2.CEL	anr2_(Pae_G1a).CEL	anr3_(Pae_G1a).CEL	WT1_(Pae_G1a).CEL	WT2_(Pae_G1a).CEL	WT3_(Pae_G1a).CEL
PA1934	6.841886344580574	7.052518290869315	6.8098452740917175	6.95977414007956	7.0121327084156855	6.793171495004364
PA1935	5.485012747146145	5.451795472421459	5.613545602020806	6.3001004982265885	5.9493896422101376	5.695823090099403
PA1936	5.637803348235652	5.332114839411004	5.567576423483479	5.9419164426085285	6.16701427459036	5.816668905381702
PA1939	7.628808286218582	7.5491266680353135	7.646471330635376	8.527146492209239	8.194794559672404	7.8133943541944255
PA1940	7.267401954375962	7.390973413107651	7.524943629430671	7.443944818204963	7.025956854553709	7.233928983857107
PA1941	8.26498666708833	8.307379619989499	8.26786695617271	7.832126482343707	7.975039474707352	7.997966518952897
PA1942	8.27664140725536	8.196886091131105	7.989919899325271	5.997555808349379	5.872735893442728	6.393536803200471
PA1943	7.3732266401642	7.260866608164573	7.258459775635725	7.04625801257218	6.880469830925928	7.216439504217737
PA1944	6.002605800345502	5.972955649806806	6.049186534175984	5.9450433889947485	5.700320932043047	5.98497925080485
PA1945	5.719979548578346	5.785505885573956	5.83376282406674	5.514678791911081	6.0162432129327055	6.064821489129583
PA1946	7.251847477524519	7.299232355083207	7.453097139421072	7.016118054558254	7.138387934002184	7.137329446654488
PA1947	5.557309325976726	5.565169698930932	5.743364066878502	5.607351848922329	5.653988982293936	5.535481442658885
PA1948	6.310131368758735	6.208979494016974	6.426032177981654	6.713396863993944	7.104845674038279	6.994763407470673
PA1949	7.4075521224570116	7.468618946349728	7.546970186232996	7.936935729954042	7.679726834959861	7.618841308577218
PA1950	7.534013018246665	7.461838859439911	7.422750065096356	7.646797861013616	7.826764051610674	7.9048371925215015
PA1951	5.9819644151672025	6.017393659897702	6.0837817433851775	6.143467153064612	6.206800346311988	6.172354859192181
PA1952	5.648974973349029	5.587334559545553	5.643754750732319	5.967118529864586	5.854991345729858	5.793748117881637
PA1953	5.495660748962502	5.5322074618425106	5.402859204589015	5.787422009851481	5.492610253990998	5.595113441344743
PA1954	5.721174916411504	5.834112242696905	5.660157526748589	6.230420076326958	6.195614412264222	5.714140611900378
PA1955	5.155898769072547	5.240166811875766	5.284754849611943	5.56260066207468	5.203908794161436	5.439574574617569
PA1956	5.436916526494495	5.510392137449224	5.450583464717265	5.606387020934812	5.422425822862358	5.735076398696245
PA1957	6.2539096597909225	6.219391954253647	6.197127697980008	6.408392144574671	6.19598514167113	6.35590947774141
PA1958	7.119905791019108	6.938845428560536	7.079133437770377	6.585920628865951	6.432502556757448	6.631623002154213
PA1959	7.089123726761288	7.305765448006979	7.277250884272752	6.9219401075372105	6.827372178609181	7.213032663795686
PA1960	6.325330343725073	6.363196861632599	6.322145164303002	6.469521293608528	6.309537304165911	6.348975789922837
PA1961	5.94021837114918	5.830121077383812	6.000588315438832	5.895839256246395	6.094499246062952	6.096291509730147
PA1962	5.188172129553996	5.250162984980693	5.2263923669004875	5.354721050637106	5.295530229949531	5.351289422080546
PA1963	8.417692130704603	8.412601657803632	8.426453680539781	8.87603168288861	8.916214840975115	7.829608622502398
PA1964	9.75451342066167	9.758273139904698	9.839991993375126	9.005945206193536	9.005758210836731	9.32036752595919
